Date,Close/Last,Volume,Open,High,Low
10/01/2021,$303.72,1727520,$301.33,$305.72,$298.17
09/30/2021,$302.43,2591667,$301,$305.01,$297.92
09/29/2021,$293.8,2164070,$301.42,$304,$291.62
09/28/2021,$298,3450135,$306.75,$306.75,$294.02
09/27/2021,$311.2,2027549,$309.56,$315.66,$307.694
09/24/2021,$316.47,1600363,$321.88,$321.88,$314.71
09/23/2021,$321.5,2089573,$319,$322.8399,$315.95
09/22/2021,$315.11,1835795,$313.16,$317.88,$310.5
09/21/2021,$314.27,2655891,$314.65,$317,$311.4
09/20/2021,$310.07,5003770,$312.43,$316.23,$304.14
09/17/2021,$322.8,21114020,$322.16,$328.06,$320.07
09/16/2021,$323.52,5274769,$322.48,$325.1,$319.175
09/15/2021,$324.08,4161384,$316.19,$324.47,$313.29
09/14/2021,$319.25,3555098,$318.74,$325.25,$317.52
09/13/2021,$318.45,4096298,$318.26,$323.78,$299.61
09/10/2021,$318.54,3313462,$321.68,$324.18,$316.19
09/09/2021,$319.97,3907793,$312.97,$321.8899,$309.5
09/08/2021,$318.1,7135035,$312.23,$319.86,$308.88
09/07/2021,$312.49,4303225,$308.48,$314.37,$304.27
09/03/2021,$310,3634774,$306.95,$310,$304.1
09/02/2021,$306.89,4906066,$300,$309.25,$299.41
09/01/2021,$301.02,3567347,$304.35,$306.355,$298.92
08/31/2021,$304.35,14711700,$299.5,$304.53,$294.44
08/30/2021,$297.85,4996509,$293.74,$299.5,$282.2
08/27/2021,$297.71,6587022,$299.73,$300.45,$294.07
08/26/2021,$305.26,13031300,$299,$307.42,$290.51
08/25/2021,$283.76,5236957,$282.62,$286.35,$279.3
08/24/2021,$281.37,3635689,$280,$288.64,$278.5
08/23/2021,$276.44,3624765,$268.16,$278.97,$267.2994
08/20/2021,$266.67,13193810,$268.03,$268.95,$247.88
08/19/2021,$279.45,1790038,$276,$284.56,$275.25
08/18/2021,$280,2345558,$279.96,$286.21,$274.55
08/17/2021,$278,2168140,$274.5,$281.53,$271.38
