Date,Close/Last,Volume,Open,High,Low
06/07/2018,$140.6949,4263362,$140.3465,$141.9919,$140.2787
06/06/2018,$140.0658,3220131,$139.7077,$140.0755,$138.9334
06/05/2018,$139.0882,2824323,$138.4591,$139.456,$138.4494
06/04/2018,$138.4494,3032513,$137.7332,$138.5752,$137.617
06/01/2018,$137.3944,3854463,$137.859,$138.2558,$137.075
05/31/2018,$136.7749,6828045,$138.2268,$138.2268,$136.5233
05/30/2018,$138.0429,5109028,$137.346,$138.5075,$137.2686
05/29/2018,$136.6878,4533961,$137.9558,$138.3042,$135.7102
05/25/2018,$139.0301,4914174,$139.2818,$139.9303,$138.8559
05/24/2018,$139.4463,3398444,$139.7561,$139.8432,$138.3623
05/23/2018,$140.0271,3456319,$139.7174,$140.0561,$138.8753
05/22/2018,$140.4336,2284010,$140.8498,$141.5119,$140.3465
05/21/2018,$140.8208,2892683,$140.2981,$141.3531,$140.0368
05/18/2018,$139.456,2677403,$139.8335,$140.2884,$139.3689
05/17/2018,$139.8625,3147105,$139.8625,$140.5304,$139.156
05/16/2018,$139.9884,3168454,$139.0882,$140.3731,$138.672
05/15/2018,$139.1269,4088765,$138.8946,$139.3689,$138.3333
05/14/2018,$139.669,3214837,$139.8335,$140.4626,$139.5141
05/11/2018,$139.5141,3073144,$139.4851,$140.2013,$138.9721
05/10/2018,$139.6109,3726223,$138.5559,$139.698,$138.4204
05/09/2018,$138.0332,4190305,$137.346,$138.43,$136.7459
05/08/2018,$138.4107,5365087,$138.4107,$138.9014,$137.5009
05/07/2018,$138.6236,3659906,$139.3786,$139.6883,$138.0625
05/04/2018,$139.2915,4400297,$136.5717,$139.7174,$135.778
05/03/2018,$137.4331,5016580,$137.5686,$137.6654,$135.4102
05/02/2018,$137.8783,5193157,$139.8238,$140.1723,$137.5105
05/01/2018,$140.3465,4430144,$140.0077,$140.3659,$138.8656
04/30/2018,$140.3078,4410906,$142.1468,$142.6501,$140.3078
04/27/2018,$141.779,3200337,$142.1274,$142.5243,$140.9853
04/26/2018,$142.0113,4251898,$141.8952,$142.6308,$141.508
04/25/2018,$141.2563,7322583,$141.1111,$141.7016,$139.486
04/24/2018,$140.8885,4915483,$141.808,$142.5727,$139.8916
04/23/2018,$141.1789,5312680,$140.3755,$141.2757,$139.698
04/20/2018,$140.2497,8262089,$143.1534,$143.2212,$139.8722
04/19/2018,$142.9598,8066949,$144.402,$144.4187,$141.9145
